Stock Symbol,Technicals,Decision,Tech_old,old Decision,Final Output
63MOONS,60.48,SuperBuy,58.15,Sell,SuperBuy
AKZOINDIA,71.99,SuperBuy,71.73,Sell,SuperBuy
BASF,74.55,SuperBuy,74.65,Sell,SuperBuy
FDC,61.16,SuperBuy,51.12,Sell,SuperBuy
FINPIPE,64.82,SuperBuy,56.51,Sell,SuperBuy
IMFA,60.22,SuperBuy,59.82,Sell,SuperBuy
ISGEC,61.06,SuperBuy,60.45,Sell,SuperBuy
MONARCH,63.37,SuperBuy,53.61,Sell,SuperBuy
NESCO,66.36,SuperBuy,50.04,Sell,SuperBuy
POLYMED,70.17,SuperBuy,59.97,Sell,SuperBuy
PPLPHARMA,63.95,SuperBuy,62.45,Sell,SuperBuy
PRECAM,66.62,SuperBuy,58.57,Sell,SuperBuy
VESUVIUS,74.92,SuperBuy,57.71,Sell,SuperBuy
WELCORP,60.71,SuperBuy,59.57,Sell,SuperBuy
