symbol,LTP,change,predicted_price,pChange,decision
IFCI.NS,60.31,1.4,59.94,-0.61,Predicted Sell
SCI.NS,214.36,0.02,212.88,-0.69,Predicted Sell
PFC.NS,459.2,-0.85,461.9,0.59,Predicted Watch
ENDURANCE.NS,2409.0,1.22,2400.35,-0.36,Predicted Sell
ITI.NS,300.98,0.47,296.22,-1.58,Predicted Sell
GVT&D.NS,1813.95,2.31,1797.86,-0.89,Predicted Sell
NAUKRI.NS,7633.9,0.18,7625.96,-0.1,Predicted Sell
RECLTD.NS,504.25,-1.39,511.39,1.42,Predicted Watch
BIOCON.NS,335.35,0.45,331.28,-1.21,Predicted Sell
JSWENERGY.NS,726.7,-1.36,739.37,1.74,Predicted Watch
POWERGRID.NS,312.1,-1.17,316.56,1.43,Predicted Watch
EMCURE.NS,1358.2,0.16,1350.66,-0.56,Predicted Sell
PRESTIGE.NS,1523.9,-0.23,1536.34,0.82,Predicted Watch
ECLERX.NS,3363.5,-0.13,3348.94,-0.43,Predicted Sell
PNBHOUSING.NS,932.4,-0.14,930.07,-0.25,Predicted Sell
EIHOTEL.NS,356.7,-0.34,354.36,-0.66,Predicted Sell
KIMS.NS,559.15,0.57,556.34,-0.5,Predicted Sell
GLAND.NS,1734.75,0.43,1712.08,-1.31,Predicted Sell
BLS.NS,389.9,1.27,388.94,-0.25,Predicted Sell
BBTC.NS,2585.2,1.34,2594.47,0.36,Predicted Watch
TRENT.NS,6466.35,-0.53,6496.46,0.47,Predicted Watch
OFSS.NS,11918.85,1.33,11822.8,-0.81,Predicted Sell
BAJAJHLDNG.NS,10707.7,1.69,10590.44,-1.1,Predicted Sell
SCHAEFFLER.NS,3407.5,0.79,3413.85,0.19,Predicted Watch
ENGINERSIN.NS,180.05,-0.19,180.37,0.18,Predicted Watch
TEJASNET.NS,1251.8,0.41,1256.76,0.4,Predicted Watch
ASHOKLEY.NS,215.93,-0.62,216.69,0.35,Predicted Watch
TATAINVEST.NS,6600.2,-0.37,6642.61,0.64,Predicted Watch
SUPREMEIND.NS,4478.0,-0.72,4489.51,0.26,Predicted Watch
MRF.NS,121155.95,0.19,120805.58,-0.29,Predicted Sell
KAYNES.NS,5449.85,-0.26,5444.59,-0.1,Predicted Sell
ABFRL.NS,292.9,0.81,292.54,-0.12,Predicted Sell
TATAMOTORS.NS,788.8,0.25,790.69,0.24,Predicted Watch
THERMAX.NS,4905.05,-1.88,4924.49,0.4,Predicted Watch
UNITDSPR.NS,1433.4,0.38,1433.09,-0.02,Predicted Sell
BANKINDIA.NS,105.28,-0.39,104.56,-0.68,Predicted Sell
GICRE.NS,349.7,-0.67,351.09,0.4,Predicted Watch
ABB.NS,6739.65,-0.75,6851.27,1.66,Predicted Buy Opportunity
DOMS.NS,2677.8,2.96,2608.57,-2.59,Predicted Sell
WIPRO.NS,573.3,0.92,568.77,-0.79,Predicted Sell
MANAPPURAM.NS,159.81,0.01,158.76,-0.66,Predicted Sell
ANANDRATHI.NS,3849.05,0.98,3840.34,-0.23,Predicted Sell
LODHA.NS,1240.0,3.17,1200.56,-3.18,Predicted Sell
SIGNATURE.NS,1285.65,2.04,1271.34,-1.11,Predicted Sell
SWANENERGY.NS,527.85,3.22,511.84,-3.03,Predicted Sell
LEMONTREE.NS,117.72,-0.44,117.46,-0.22,Predicted Sell
NEWGEN.NS,1193.0,-0.69,1212.09,1.6,Predicted Buy Opportunity
METROBRAND.NS,1131.45,0.42,1144.21,1.13,Predicted Watch
SOLARINDS.NS,9880.4,1.03,9822.24,-0.59,Predicted Sell
KALYANKJIL.NS,675.75,1.93,673.06,-0.4,Predicted Sell
TCS.NS,4157.7,0.35,4144.03,-0.33,Predicted Sell
TECHM.NS,1683.25,1.04,1677.07,-0.37,Predicted Sell
LICI.NS,902.0,-0.76,899.71,-0.25,Predicted Sell
HCLTECH.NS,1888.25,0.97,1863.21,-1.33,Predicted Sell
CRISIL.NS,5222.15,-0.79,5260.32,0.73,Predicted Watch
JSWINFRA.NS,291.45,-0.14,292.18,0.25,Predicted Watch
HAL.NS,4045.25,-0.78,4091.8,1.15,Predicted Watch
